"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"4",0.0733559670802388,0.0384143536989082,0.0348082176327746,0.030176266777648,0.0270985604896464,0.0369114309970309,0.0283817407254584,0.0632926130445919,0.0198998485387439,0,0.0737864018525369,0.124059452040826,0.0409976874353793,0.0283432176090606,0.0665151943124365,0.0417358662009239,0,0.0739302413609933,0.056540701791829,0.0192189693662673,0.0407096278326361,0.0813573799123531
"5",0.0728109322856738,0.0391546411627915,0.0355419411071605,0.0291866933937327,0.0267496616011361,0.0354577426254375,0.0278718916957779,0.0609338056612315,0.0206374482994537,0,0.0773993533674029,0.125428993027121,0.0407740936639404,0.0294708690529254,0.0678476013883562,0.0410226010773755,0,0.0724062294104843,0.0559353320583123,0.0199100106251749,0.0409830461080761,0.0804668612887733
"9",0.0754481645684828,0.0415985605229802,0.0335369547830503,0.0313129141572357,0.0245989637810457,0.0397601252618048,0.0308347494763903,0.0655533963837229,0.0210172223745358,0,0.0670865171195629,0.129415664388702,0.0387786700427877,0.0268489473648726,0.064392148653447,0.0434978754370904,0,0.0724912458762932,0.0555727568159143,0.0197112014706014,0.0387984710037124,0.0797404667653959
"12",0.0753682052130453,0.0406898031216842,0.0325464746188641,0.0304508216619199,0.0251446255654213,0.0379488408024794,0.0301326925085162,0.0655326571312896,0.0210897016529848,0,0.0675034747305523,0.130227798598313,0.0379288333752164,0.0279500656866029,0.0658541397358576,0.0428680057798626,0,0.0721116946026694,0.0562729328614508,0.0196526112134919,0.0389011465767577,0.0815922007594795
"14",0.0744343027234223,0.0403956060499481,0.0321371026809859,0.0294656507003727,0.0283705289207212,0.033938442251387,0.0286305524682851,0.0597396705186115,0.02279742015796,0,0.0699817030815943,0.133327457612655,0.0362384773536321,0.0295930393885475,0.0660093950397898,0.0427305471060829,0,0.0757667900126962,0.057395576621259,0.0168265832623178,0.0402785650977131,0.0819361322376755
"15",0.0758278372484384,0.0419087976524315,0.0326277271036675,0.0305351375058874,0.0255884943635888,0.0382755220133682,0.0301169715482824,0.0638811252923464,0.0214783830402503,0,0.0671776470080842,0.132104732142895,0.0380574542013569,0.0271175182838015,0.0647420554336421,0.0431798079320123,0,0.0736927224043452,0.0556241308901131,0.0191804046712245,0.0389627924863794,0.0799137705133644
"16",0.0749209873900983,0.0415733272476442,0.0330208965527329,0.0311552344940635,0.025307995736056,0.0390117872727123,0.030430200900877,0.0645311918838788,0.0210854771201555,0,0.0679884585988777,0.129954107739552,0.0386275559756926,0.0273370084922332,0.0651003751338198,0.0436211017413237,0,0.072548779116914,0.0552249761158798,0.0194474276185452,0.0388132689932467,0.0803001790966179
"18",0.0771395516848192,0.0415241428194135,0.032250501420951,0.0286595774944134,0.0277112686396035,0.033001029031049,0.0282013754521028,0.0620567796521713,0.0216826666434717,0,0.0704390895475887,0.134012486166089,0.0355116224619379,0.0288174191038441,0.0652961227885114,0.042887094791744,0,0.0737789655445081,0.0564348247810059,0.0190115960830145,0.0390418629561157,0.0825186815598988
"20",0.0752912327710237,0.0412662726206293,0.0328190476751472,0.0300518795588421,0.0259664340443665,0.0377396707557338,0.03044963682667,0.0636634835944353,0.0216444296277729,0,0.0681035567414458,0.13140317404186,0.0382729198646448,0.0275973834515604,0.0650099969921044,0.0433030770372227,0,0.0727080633011657,0.0560237962301041,0.0193758222584283,0.0386275588569997,0.0806207136683794
"22",0.0712063933945926,0.0391156286799932,0.0329412255614517,0.029690329173091,0.0281761196624898,0.0335845545433669,0.0279931080098145,0.0580438433579975,0.0226688447889882,0,0.0723362599108826,0.132123372398058,0.0375805043761163,0.030856470351345,0.0668284495301486,0.0419674498502832,0,0.077593345678691,0.0580353145860363,0.0165431002835963,0.0407885734776918,0.0817283688177526
"23",0.0701302455900507,0.0399134093160423,0.0362178878901095,0.0315574450693021,0.0279055429819816,0.0355472786055506,0.028796910656559,0.0615322137140435,0.0200936322438783,0,0.0743221487126288,0.12358145616074,0.0385083361921096,0.0309550360177469,0.0651057379933161,0.0400501780572186,0,0.0742497040297757,0.0565359598078957,0.0193892047023386,0.0408034852585699,0.0848031743621994
"25",0.0763522236028013,0.0415663877629376,0.0323800848513012,0.0297432885156761,0.0265258201985484,0.0360591309435935,0.0294328412789043,0.0638855692574484,0.0214234751347008,0,0.0677881931589081,0.132447954798866,0.0364090223611301,0.0278344318051409,0.0655246303818379,0.0431307951285237,0,0.0730068254080697,0.0557142900557222,0.0192943912708993,0.0398079624920128,0.0816106645858806
"28",0.0726324057490461,0.03769860565227,0.0320566744414739,0.0282283398631307,0.030720711484044,0.0291894118499655,0.0261849073043793,0.0572825171755599,0.0236927233268741,0,0.0760325821762175,0.134333220353345,0.0334879601611749,0.0323524761682837,0.0680727647689744,0.0421313235717136,0,0.0782146556972017,0.0588302695910644,0.0157379689134075,0.0405875604573013,0.0825161674251931
"29",0.0751700165057526,0.040699207658445,0.0327012740926976,0.029630050732291,0.0274460907909862,0.0344849340984925,0.0284574632078733,0.0613239549409774,0.0219249976820913,0,0.0701730058508501,0.132408349686428,0.03698936322937,0.029015387249633,0.0659302331834789,0.0429414001009411,0,0.0744844239716615,0.0571108850765937,0.0176109998691502,0.0400044304393745,0.0814944744235604
"31",0.072213125434158,0.0386918005225795,0.0320975322929726,0.0292535286004341,0.0295121794680802,0.0314835379238426,0.0272499256805502,0.0572677933149319,0.0230457204216122,0,0.0706581949747328,0.13445887401012,0.0351499358743666,0.0307072823519762,0.0664241811720711,0.0421423134439533,0,0.0799293034392832,0.059266391439203,0.01524567658318,0.0418838609623699,0.0832528643619824
"35",0.0753165619437355,0.0409760305014024,0.032670504830839,0.0300613840239661,0.0267296946857507,0.0365759678625743,0.0295675057511025,0.0630717687897993,0.0220212143909184,0,0.0687096841429693,0.132513759817775,0.0374864787893425,0.0279116551992708,0.0650306006992259,0.0431331293046245,0,0.0736828020302364,0.0558885697757652,0.0189330657607618,0.0392394759763385,0.0804492780870707
"36",0.0734826279992789,0.0396829395400355,0.0321691394339955,0.0297562568958189,0.0284663081556341,0.033823658175597,0.0283659106774108,0.0595755704693665,0.022813348920925,0,0.0702826096676697,0.133306973739004,0.0362528877972446,0.0302469751342672,0.0658663263155183,0.0426954503801555,0,0.0771941369547202,0.057422159824154,0.0169278409164087,0.0406965453825382,0.0809667041527318
"38",0.076292463346086,0.0411338563994774,0.032409142818565,0.0297073513284502,0.0267491052569747,0.0358129979741408,0.029352699203743,0.063281638192472,0.0218054342839616,0,0.0685961840220244,0.133729353378232,0.0370079345696869,0.0283469408035502,0.06466089745941,0.0433956226500749,0,0.0733207758227958,0.0561576050313183,0.0185424079392848,0.0391056005149968,0.0805923888820674
"40",0.0760670842547193,0.0421256152751218,0.0321697479403603,0.0303178262857471,0.0261717526419461,0.0367303771764603,0.0298409042860635,0.064297441302066,0.0217643215050826,0,0.0658617435982229,0.132457377593421,0.037087277465457,0.0277369591378988,0.0645815807536917,0.0429870246437866,0,0.0731380213799945,0.0558217341662953,0.0197773980388492,0.0393272159997699,0.0816788493479606
"41",0.0686528665488359,0.0377676831948027,0.0375019606063502,0.0283691466832266,0.0278163103616658,0.0341282884966508,0.0276120680073883,0.0575192716792458,0.0195310940203603,0,0.0831498749641729,0.123930087417598,0.0441125041532647,0.029393110742227,0.0686802118032335,0.0374333709382929,0,0.0725737627251785,0.0577319923728543,0.0195505266153944,0.0417009813116354,0.0828305723411142
"42",0.0724730138120399,0.0401392532476123,0.0360148529013349,0.0285627550363351,0.0285061214138911,0.0334727454217139,0.0267502148231501,0.0599703127461147,0.0194344006613044,0,0.077779318495986,0.124965489633724,0.0386132044411234,0.0301226729781258,0.0663837100467122,0.0398630518042852,0,0.073988068507012,0.0568936447479343,0.0195818237663861,0.0412971070574849,0.0851767147607747
"43",0.070116166199638,0.0348528189844011,0.0322969386027454,0.0286945433341993,0.0318509882588757,0.0285667392541908,0.0252979474680035,0.0564525111230245,0.0242163890654449,0,0.077542783492049,0.132367174806971,0.0329959331089385,0.0329191141650684,0.068631825152498,0.0441720816499106,0,0.081147741385758,0.0606506716004077,0.0137105626914863,0.0426348742338237,0.0808523748371843
"45",0.0749319157214915,0.0410721259263716,0.0332017620566202,0.0304989049710681,0.0257253219812068,0.0381198982821385,0.0302468263686232,0.0636852088410201,0.0213003492684297,0,0.0688441790366739,0.130931405868608,0.0384971772415938,0.0276462138953238,0.0654477128975001,0.0426705845442602,0,0.0724036245976113,0.0558932342529359,0.0194392741859462,0.0387757788541573,0.0806632432985349
"46",0.075753876870798,0.0413807117463509,0.0329178793548225,0.0306350581571957,0.0256927168760374,0.0384705493558165,0.0305668256231659,0.0647500985992297,0.0211159949520612,0,0.0679874197824575,0.130127280337099,0.0382128536367174,0.0273938723003421,0.0648448578931871,0.0432766754019355,0,0.0726623533761459,0.0554336555845494,0.019455162497364,0.038708504745564,0.0806140732703566
"47",0.0750401228462723,0.0409020032169877,0.0333148840752576,0.0302041925643615,0.025707366259936,0.0378502129567557,0.0303692208272751,0.0643896019249689,0.0209632262817889,0,0.0690551257737749,0.130109152885277,0.0385446926122463,0.0275127330030733,0.0650473848805931,0.0428917358456889,0,0.0725496415169904,0.0560998718428682,0.0196039552190076,0.0388676087855544,0.0809678288814978
"49",0.0744857571442109,0.041477758217294,0.0325597557267802,0.0300928801470284,0.0265858826442156,0.036069719383431,0.0294352869763214,0.0621476078254986,0.0218099749080071,0,0.0684094445193351,0.131600130104652,0.0373882913954484,0.0282300029229502,0.065137642233561,0.04297475988431,0,0.075319255942331,0.0564683827409798,0.0185108176386032,0.039483912549066,0.0817993140009316
"50",0.0771275538566902,0.0420513915154485,0.0325495971647633,0.0309191195175866,0.0251147135753938,0.0381753515927326,0.0298510155514846,0.0652877044494063,0.0209226067361926,0,0.0662913632410341,0.130290879836523,0.0379617588489784,0.0275820383079895,0.0649275486450219,0.0438386599998888,0,0.0721111323351725,0.0549878676481234,0.0193824371119784,0.0391885799874163,0.0814336891150742
"51",0.0744885926233766,0.0417594404278074,0.0329123711902215,0.0304878209442321,0.026526557078686,0.0367866356608098,0.029602398973262,0.0621409496592818,0.021811954933537,0,0.0680024730817417,0.131494026401834,0.0375278313949578,0.028237185576776,0.0650166424323912,0.0432850078899923,0,0.0746795605072574,0.0562058227776927,0.0186525188815889,0.0394064119663865,0.0809760582673798
"53",0.0725942178266924,0.0402847545622325,0.0331124502219491,0.0298129562109971,0.0282888428361262,0.0335554894592557,0.0282018245107466,0.0594202276142115,0.0221922762303252,0,0.0718907843344809,0.132691834498211,0.0366916779331927,0.0299584656451813,0.0663884101309543,0.0417193595575327,0,0.0766054011108726,0.0575839198297721,0.017043089027609,0.0405537498860605,0.0812101165073478
"54",0.068749296698661,0.0387588213586608,0.0336841127022801,0.0285256080233952,0.0303170211362976,0.0291564396466245,0.026558122152701,0.0540450060272554,0.0236906270760272,0,0.0766017422020233,0.134145431498249,0.0367856586612101,0.0326010134708906,0.0679658924526743,0.0409690536913612,0,0.0805148894740376,0.0598428304542473,0.014413264303273,0.0415716861874827,0.0811009171038035
"55",0.0730037937767369,0.0402992584766999,0.0328933381679022,0.0298839566352202,0.0281799622923675,0.0336050104242258,0.0281166394701285,0.0597853055801683,0.0220933689895316,0,0.0716428189211727,0.132474525828025,0.0366663824027038,0.0299164705375292,0.0663425721576944,0.0420199910792682,0,0.0766732574703611,0.057486968805504,0.0170668070596065,0.0403223150501765,0.0812024092390717
"57",0.0752992373468374,0.0393260278089768,0.0315018816911844,0.0282448841683983,0.0301427140689836,0.029860120155964,0.0264340568650394,0.0586328313159499,0.023009949216462,0,0.0744331438832119,0.134401089008814,0.0331407944956019,0.0315414287876001,0.0675304638612446,0.0426012727974776,0,0.0762234979200014,0.0581643415685369,0.0163168580996025,0.0404192939744607,0.0827687328770248
"58",0.0751438399067506,0.0396418291892977,0.0321097036939534,0.0290905320622956,0.0280595835123038,0.033144198200133,0.0279812826823421,0.0626252177090837,0.0227319250193981,0,0.0708353998953887,0.132295042814388,0.0352119677818267,0.0299570993079033,0.0660716098694784,0.0445065173820872,0,0.0761815700340853,0.05690942948789,0.0173958109966468,0.0396477993196807,0.0804309863070165
"59",0.0739249332271979,0.0406557345748717,0.0329715670659089,0.0298041187360002,0.0269400354072949,0.0360460900547338,0.0293965548047909,0.0617375498250614,0.0217420488716933,0,0.0690619671720443,0.132484983740289,0.0371345916807049,0.0285457518280604,0.065660385864233,0.0423555502446669,0,0.0752166695915635,0.0568103593550417,0.0187767223507778,0.0397106160671861,0.0810184157302677
"60",0.0749803344490236,0.0409071754446399,0.0331707906627605,0.030363430102544,0.0256713119104336,0.0383282154826997,0.0298577747756744,0.0641825566774795,0.0211724637269741,0,0.0693731052133744,0.129757399618728,0.0388091562755618,0.0276711872396145,0.0650765931350823,0.0429647487116076,0,0.0727396947803422,0.0560148058238811,0.0195961729391052,0.0391279212703385,0.080036282989631
"61",0.0772406198281837,0.0421708025164823,0.0316677909629201,0.0296440189718056,0.0266388018818118,0.036591336621476,0.0298824485468753,0.0637593779234323,0.0215791017706733,0,0.0658862417126422,0.133118360415923,0.036197694339338,0.0276915031726403,0.0652887263759609,0.0428647526564369,0,0.0729875893625833,0.0556174260559221,0.0194750946953795,0.0394302004476845,0.0821537622006837
"62",0.0695111528464125,0.045292977856641,0.0336608886237239,0.0260141829763347,0.0274773779545708,0.024918548203354,0.0269349016788105,0.0549556465068987,0.0252573532515856,0,0.075792618031194,0.140530710199796,0.0339670793131247,0.0310237423809488,0.0600790046130621,0.0417277752645922,0,0.085194945890537,0.060745882585829,0.0170103853334847,0.0349708848190231,0.0848758508138199
"63",0.073049580537541,0.039783656845518,0.0314769103595668,0.0280609591586476,0.0306231715432093,0.0279548625179091,0.0264918928616399,0.0558412865428746,0.0247602071731858,0,0.0731994789871732,0.135486032990257,0.0337830061495146,0.0315413091398734,0.0665776718398517,0.0416969051186967,0,0.0799115040957058,0.0596466504260194,0.0161671369648101,0.039940589473111,0.0836557116976899
"65",0.0749316062790165,0.0398092154435203,0.0314938420874153,0.0280437202434167,0.0299478371302969,0.0297008352867915,0.026403339383813,0.0584200452059607,0.0237687924114161,0,0.0746763687997482,0.134989631348225,0.0333647848647582,0.0314393469674642,0.0666661257283078,0.0426464067056741,0,0.0757933816179688,0.0585079211793503,0.0163093775486925,0.0403256872699472,0.0827520548859061
"67",0.0748804959384138,0.040764224640846,0.0330073101840851,0.0301904562641296,0.0259322952815799,0.0368957794409514,0.0298022492578325,0.0634541406189149,0.0216139596789379,0,0.0692665012585543,0.131414816935319,0.0378039721412381,0.0280907518000825,0.0653235099713191,0.043046663672691,0,0.0733719776703977,0.0562315965054291,0.0190707709273469,0.0391971595815269,0.0806073336297731
"68",0.0751622228265551,0.0412115372617406,0.0330598602846855,0.0302653618983945,0.0259748031793873,0.0375504093975849,0.0296758812306863,0.0635584900587665,0.0215704529179388,0,0.0686682794272819,0.131265821209248,0.0382988147083903,0.0279407776596074,0.0650904798116936,0.0432998208979703,0,0.0731966938588687,0.0559603536101979,0.0193047678258984,0.0390012514967705,0.0799375265025652
"69",0.0750513826651067,0.0408365010721944,0.0324896079667295,0.0291769521736305,0.0279096178872354,0.0332973723655424,0.028084983061494,0.0610447257023414,0.0221619424372387,0,0.0701662883336581,0.133272910390539,0.036212441137609,0.0293624060151189,0.0661127176771288,0.0429250539671192,0,0.0751033950982303,0.0574156100353065,0.0172329380834795,0.04024986742695,0.0818311578725059
"72",0.0724202039372046,0.0381306075253399,0.0349076576747427,0.028256439309139,0.0295727899941718,0.032346493997675,0.0276583399631812,0.0588686573170395,0.0208279044592665,0,0.0776677436160731,0.128071956283091,0.0383813929772951,0.0300609653983613,0.0672249149837643,0.0403179902001599,0,0.0748561279067257,0.058150543369998,0.0187510369544637,0.041512091208205,0.0816137213952899
"73",0.0741985979834753,0.0415148573195054,0.0326076952650539,0.0302300907217017,0.0267288426033264,0.0361188079525964,0.0291168834644271,0.0619209514993592,0.0219983792709273,0,0.0684699067406282,0.131828183005224,0.0375105263242888,0.0286903020519369,0.065314326888805,0.0433645414603367,0,0.0746427078668922,0.0566816860510051,0.0181916245009729,0.0395900273722311,0.0811895393436893
"75",0.0769598715000482,0.0420367474924453,0.0325242732458851,0.0303309573552762,0.0254807037187679,0.0376624312133513,0.0299046777267619,0.0653469497263657,0.020958776832203,0,0.0665405850743467,0.130792968039922,0.037022698094858,0.0272644747758387,0.0651171956453154,0.0435328508946891,0,0.072555616739801,0.0554673847385286,0.0194868985584331,0.0388053411499682,0.0821805115489608
"76",0.0699228423372691,0.0383415411876647,0.0336108660518444,0.028926131695696,0.0295902689729587,0.0312259193765834,0.0265231997322547,0.0566512258669254,0.0226240605779423,0,0.0752713203450938,0.13258879663406,0.0372126588113907,0.0319288697209453,0.0676798481950806,0.0420270469876304,0,0.0794459927467964,0.0584712175677685,0.0150187970826634,0.0415689796995304,0.0813460525526695
"77",0.0760138685061759,0.0411299712937886,0.0328655440107523,0.0304846552501264,0.0252972127849206,0.0384379081278859,0.0305937238329879,0.0649857471263196,0.0210105351796406,0,0.0680983489288453,0.130579794895903,0.0380562406794043,0.0269909503642579,0.0652911608322866,0.04305959802126,0,0.0723311069584267,0.0555333678453719,0.0196827714088172,0.0386673707353685,0.0808813325392814
"80",0.0753818467829612,0.041719047296885,0.0333354202368723,0.0306650138877251,0.0249746789168297,0.039342505800776,0.0303399785244563,0.0650259064262152,0.0209313298699363,0,0.0675995953680687,0.129674117966527,0.0384243401080604,0.0270230915162291,0.0650205268128784,0.0431629818937167,0,0.0728228912847157,0.0553459642529441,0.019771750494734,0.0387446490517552,0.080611159493152
"82",0.0733385079485849,0.0393912789243607,0.0324602232789807,0.029555607076055,0.0288794755659821,0.0318165562706289,0.0274250690873482,0.0587637947563647,0.0230561323484344,0,0.0714535009775016,0.134786298287699,0.035812892517093,0.0306338231902129,0.0670857530355388,0.0425715729427555,0,0.0767945704241478,0.0587562090409213,0.0156867251969974,0.0409215833905744,0.0808079294648922
"83",0.0773822587558951,0.0383713497792891,0.0336218911688582,0.0277246089684814,0.0291309323050258,0.0335568819419459,0.0273162183006232,0.0608875721614188,0.022391736748645,0,0.0735560479992881,0.129114555309247,0.038870362944565,0.0285756985759218,0.0679421140074975,0.0411984124487878,0,0.0761209368894667,0.0552444638912424,0.0193334056204856,0.040294785285686,0.0792950855375401
"84",0.0719458605766562,0.041185287115126,0.0352743085266351,0.0308776627886022,0.027288396445595,0.0359366665922185,0.0287881768144052,0.065923559588692,0.0190539985134575,0,0.0713124864421824,0.123549428013585,0.0368895696766122,0.0303217423191413,0.0641211149068208,0.0430967991240724,0,0.0755239544417855,0.0572084288513889,0.0195552783838968,0.0381641937584955,0.0839377414631588
"86",0.0666353899773406,0.036012691091147,0.0377352120267266,0.030356011839181,0.0287044494766286,0.0340802849474306,0.0281559994716206,0.0595106205554081,0.020029773522679,0,0.0823266187641437,0.125516220752244,0.0403987884871365,0.0291654498119463,0.0670836594043539,0.041015566113465,0,0.0778746889456946,0.0581287017400227,0.0171064222041256,0.0421557262095023,0.0779763264716597
"87",0.073954513463167,0.0422273524661821,0.0344455682254546,0.0295785674329428,0.0280344716860891,0.0335597877784344,0.0281396293577931,0.0622860819827498,0.0190743773200031,0,0.0720307105643719,0.125846682235482,0.036642707067516,0.030859085234499,0.0655356033574171,0.0400550890826745,0,0.0742572371707058,0.0566370206461557,0.0205877789246351,0.0394918447957035,0.0867044879448345
"407",0.0770594740789977,0.0418583998394455,0.0322707297955881,0.029701559705903,0.0251096777534183,0.0384817936054258,0.0305749206446194,0.0647866456140942,0.02165161396149,0,0.0654201417177001,0.132383405207061,0.0378231800516427,0.0267103970350111,0.0652568225399834,0.0433296139846673,0,0.0724199440798726,0.0552777691050778,0.0199198444497587,0.038913260392052,0.0807350760052296
"408",0.0727344314155637,0.0390333528019561,0.0326225286485976,0.0292390912807931,0.0278304180800289,0.0333758146392093,0.0282071840712695,0.0593043002932876,0.0230860448029942,0,0.071043590105285,0.134844266333279,0.0365338657875907,0.0295305463795123,0.0672620353596111,0.0424680311450788,0,0.0761730224801264,0.0577320971544045,0.0171601122590994,0.04075976194183,0.0808588320949215
"409",0.0740892808244828,0.0398555280678013,0.031707054283113,0.0288369854929903,0.0276237920284681,0.033719159996538,0.0282549599792282,0.0599245780051364,0.0228784413120222,0,0.0695450811816657,0.13527947481163,0.0362389068562098,0.0292091573750899,0.0664937992187252,0.0425346860171133,0,0.0751500039113669,0.0569839774106085,0.0169692035957943,0.040158758107764,0.0807715811741756
"410",0.0730045595269537,0.0391210825321243,0.0321355736606283,0.0286306243085665,0.0289083850371224,0.0319704920515117,0.0274090169590934,0.0579366624056666,0.0231662202454523,0,0.0721118424062868,0.134852827505633,0.0361997628659486,0.0307326137193548,0.0670568897550833,0.041941543810443,0,0.0768934034737801,0.0582216996314548,0.0164592939460276,0.0409878971118878,0.0818127150716269
"411",0.0745791861936671,0.0403667770368582,0.0321529366976832,0.0296216179386671,0.026974689068175,0.0348733349051208,0.0291044315969655,0.0615276552433432,0.0221075010649679,0,0.0696728211945967,0.134335455229161,0.0363478390286042,0.0285824622783947,0.0662225866687232,0.0429079740919047,0,0.0752197075077781,0.057023733164319,0.0178398952578775,0.0402289699288244,0.0803113195716528
"412",0.0744537195930959,0.0401947798838791,0.0322324589853215,0.0291281394248058,0.0278714322377985,0.0340052194501733,0.028302130529797,0.0605423868068639,0.0225259205084149,0,0.0696383186671214,0.133226023453644,0.0364767932069262,0.0292296777531547,0.0661988710756484,0.0431211565150662,0,0.0755478091763459,0.0576857410407015,0.0174697781268025,0.0399352583517494,0.0822076708949206
